Name,Points,Year,Position,Number,School,REC,YDS,TDS
Kace Patton,26.65,SR,WR/CB,#10,Murray,9.0,116.5,1.0
Treyton Travis,61.6,SR,WR/CB,#24,Baxter,13.0,246.0,4.0
Evan Lorenzen,18.9,JR,RB/DB,#22,Northwood-Kensett,11.0,79.0,0.0
Wyatt Ragaller,28.7,SO,RB/DB,#8,Ar-We-Va,11.0,117.0,1.0
Landon Blum,31.3,FR,WR/DB,#5,Woodbine,10.0,153.0,1.0
Holden Roberts,10.0,SO,TE/DE,#13,Twin Cedars,4.5,55.0,0.0
Jackson McDanel,17.95,SR,RB/LB,#30,Moravia,4.5,74.5,1.0
Brenden Connett,12.3,SR,RB/LB,#20,Twin Cedars,4.0,53.0,0.5
Jackson Embree,23.9,JR,SL/LB,#33,East Mills,8.0,99.0,1.0
Wyatt Throckmorton,15.6,SR,WR/LB,#23,Moravia,4.0,56.0,1.0
Dakota Heishman,7.2,JR,WR/DB,#8,BGM,4.0,32.0,0.0
Evan Ten Eyck,21.1,SR,TE,#2,Boyer Valley,3.5,56.0,2.0
Declan DeJong,17.0,SO,TE/DE,#41,Moravia,3.5,45.0,1.5
Dominic Coleman,19.8,SR,WR/DE,#23,BGM,3.5,73.0,1.5
Tyler Ballard,8.6,SR,TE/DE,#22,HLV,3.0,56.0,0.0
Cal Heydon,38.4,SO,QB/DB,#11,Coon Rapids-Bayard,6.0,144.0,3.0
Devon Ehlers,8.0,SO,TE/LB,#88,Ar-We-Va,6.0,20.0,0.0
Mason Maschmann,13.05,SR,RB/LB,#11,BGM,3.0,70.5,0.5
Caleb Hemphill,17.9,SR,RB/LB,#3,Harris-Lake Park,6.0,59.0,1.0
Devin Meyer,10.1,SR,TE/LB,#15,Harris-Lake Park,6.0,41.0,0.0
Keyden Lown,14.65,JR,TE/DE,#84,English Valleys,2.5,31.5,1.5
Gio Cruz,15.8,SR,RB/DB,#5,Lenox,5.0,48.0,1.0
