Name,Points,Year,Position,Number,School,REC,YDS,TDS
Kace Patton,69.2,SR,WR/CB,#10,Murray,25,322,2
Treyton Travis,111.2,SR,WR/CB,#24,Baxter,24,452,7
Wyatt Ragaller,50.6,SO,RB/DB,#8,Ar-We-Va,19,196,2
Nolan Birdsall,57.7,JR,RB/LB,#2,West Harrison,17,227,3
Jackson Embree,44.1,JR,SL/LB,#33,East Mills,16,161,2
Garrett Watts,84.6,SR,WR/DB,#7,Montezuma,15,276,7
Evan Lorenzen,24.4,JR,RB/DB,#22,Northwood-Kensett,15,94,0
Landon Blum,40.5,FR,WR/DB,#5,Woodbine,15,195,1
Callan Messerich,59.4,SO,WR/DB,#6,Easton Valley,13,224,4
Josef Dvorak,43.2,JR,RB/DB,#25,Collins-Maxwell,12,192,2
Cal Heydon,48.7,SO,QB/DB,#11,Coon Rapids-Bayard,12,187,3
Carter Seitz,64.6,JR,WR/DB,#7,Kee,11,236,5
Cade Robinson,18.5,JR,WR/CB,#12,Baxter,11,75,0
Dalton Weepie,32.5,JR,TE/LB,#33,Dunkerton,11,155,1
Wyatt Throckmorton,45.1,SR,WR/LB,#23,Moravia,11,161,3
Jamison Martin,23.2,JR,RB/DB,#11,West Harrison,11,122,0
Michael Hensley,45.4,JR,RB/LB,#6,Sidney,11,224,2
Braxton Bormann,21.4,SO,RB/LB,#21,Central Elkader,10,54,1
Declan DeJong,47.0,SO,TE/DE,#41,Moravia,10,130,4
Jackson McDanel,45.9,SR,RB/LB,#30,Moravia,10,179,3
Dakota Heishman,28.5,JR,WR/DB,#8,BGM,10,125,1
Holden Roberts,20.0,SO,TE/DE,#13,Twin Cedars,9,110,0
Isaac Murphy,50.5,SR,RB/S,#1,GTRA,9,175,4
Caleb Haack,43.9,JR,WR/DB,#7,Iowa Valley,9,229,2
Dominic Coleman,49.2,SR,WR/DE,#23,BGM,9,162,4
Aiden Klostermann,39.9,SR,RB/S,#10,Central City,8,139,3
Keyden Lown,43.1,JR,TE/DE,#84,English Valleys,8,111,4
Brenden Connett,24.6,SR,RB/LB,#20,Twin Cedars,8,106,1
Triton Gwinn,35.4,SR,RB/LB,#22,Mormon Trail,8,154,2
Jed Bielenberg,21.1,SR,DE/WR,#15,Siouxland Christian,8,131,0
Cruz DeJong,30.6,SR,TE/LB,#40,Montezuma,8,106,2
David Rose,22.8,JR,WR/DB,#5,Montezuma,8,88,1
Broox Stockman,23.4,SO,RB/LB,#20,Montezuma,8,94,1
Louden Huisenga,36.6,JR,RB/LB,#8,WACO,8,106,3
Devon Ehlers,14.2,SO,TE/LB,#88,Ar-We-Va,8,62,0
Mason Maschmann,32.0,SR,RB/LB,#11,BGM,8,180,1
Aiden Eickert ,45.1,JR,WR/LB,#7,Easton Valley,8,131,4
Matt Sauer,27.9,SR,TE/DE,#82,Midland,7,89,2
Cainan Travis,22.8,JR,WR/LB,#20,Baxter,7,98,1
Chase Klatt,22.3,SO,TE/CB,#4,Calamus-Wheatland,7,93,1
Owen Garside,22.0,JR,S/QB,#3,Boyer Valley,7,90,1
Evan Ten Eyck,42.2,SR,TE,#2,Boyer Valley,7,112,4
Brogan Ewing,13.3,JR,WR/CB,#10,Southeast Warren,7,63,0
Brayden Hepke,34.2,SR,WR/DB,#17,BGM,7,92,3
Drew Lappe,11.0,SR,WR/CB,#5,Bishop Garrigan,7,40,0
Sam Plathe,29.1,SR,WR/CB,#24,Bishop Garrigan,7,101,2
Devin Meyer,12.4,SR,TE/LB,#15,Harris-Lake Park,7,54,0
Evan Alt,10.1,SR,RB/LB,#4,Audubon,7,31,0
Justin Weispfenning,18.5,JR,RB/DB,#3,Easton Valley,7,55,1
Kolt Payne,41.5,JR,SL/CB,#24,Sidney,7,225,2
Seth Bixler,19.9,SR,WR/S,#1,Midland,6,79,1
Tyler Ballard,17.2,SR,TE/DE,#22,HLV,6,112,0
Reed Oswalt,26.8,SO,WR/DB,#24,Collins-Maxwell,6,148,1
Jack Gordon,26.9,SR,WR/DL,#18,East Mills,6,89,2
Levi Reineke,9.4,SO,LB/RB,#29,Boyer Valley,6,34,0
Oliver Schmitt,28.8,SR,FB,#22,Turkey Valley,6,48,3
Colby Eskildsen,14.7,JR,TE/DL,#12,Northwood-Kensett,6,27,1
Alex Tiedemann,14.4,SO,QB/DB,#34,Northwood-Kensett,6,24,1
Colton Leichty,18.1,SR,TE/LB,#23,WACO,6,61,1
Collin Hoffman,14.1,SR,QB/S,#14,GTRA,6,81,0
Keaton Harpenau,8.8,JR,SL/DB,#2,Remsen St. Mary's,6,28,0
Braxton Kniep,30.8,JR,WR/DE,#18,Remsen St. Mary's,6,128,2
Cam Buffington,64.1,SR,QB/LB,#33,Winfield-Mt Union,6,221,6
Harley Molina,17.9,SR,WR/LB,#24,Ar-We-Va,6,59,1
Wade Ragaller,18.8,JR,RB/LB,#28,Ar-We-Va,6,68,1
Johnathan Riesselman,26.1,SO,WR/DB,#7,Ar-We-Va,6,141,1
Conlin Rouse,20.4,SO,RB/LB,#11,Springville,6,84,1
Tate Martin,25.9,JR,RB/LB,#33,BGM,6,79,2
Caleb Hemphill,17.9,SR,RB/LB,#3,Harris-Lake Park,6,59,1
Austin Christensen,9.3,SO,WR/LB,#81,Audubon,6,33,0
Rason Grail,34.6,SR,WR/DB,#23,East Union,5,116,3
Nolan Gannon,18.5,FR,RB/LB,#34,Murray,5,75,1
Gio Cruz,15.8,SR,RB/DB,#5,Lenox,5,48,1
Lane Oswalt,9.5,SR,WR/DB,#87,Collins-Maxwell,5,45,0
Kolby Culbertson,8.0,SR,TE/DB,#2,Coon Rapids-Bayard,5,30,0
Jiri Brodigan,16.2,SO,WR/LB,#32,East Mills,5,52,1
Hudson Clark,19.7,SO,WR/DB,#3,Gladbrook-Reinbeck,5,87,1
Owen Hammersland,14.1,FR,RB/LB,#24,Central Elkader,5,31,1
Charlie Schaefer,23.5,SR,QB/S,#6,North Iowa,5,125,1
Jaxson Schnell,27.8,SO,LB/WR,#4,GTRA,5,108,2
Hayden Loftsgard,6.5,JR,WR/CB,#2,Tripoli,5,15,0
Dawson Smith,9.1,SR,RB/LB,#20,Iowa Valley,5,41,0
Jack Follmann,31.3,SR,TE/LB,#40,CAM,5,143,2
Will Felper,18.1,SR,SL,#18,Riceville,5,71,1
Brigham Porter,17.5,SO,SL/DB,#23,New London,5,65,1
Cale Westerbeck,21.4,SO,WR/DB,#4,New London,5,104,1
James Buhlman,21.2,FR,RB/LB,#27,Easton Valley,5,102,1
Wyatt Christiansen,6.7,SO,RB/LB,#10,Midland,4,27,0
Kael Cress,28.7,JR,WR/S,#7,Midland,4,67,3
Carter Sholtus,20.5,SR,WR/CB,#2,HLV,4,45,2
Sam DeMeulenaere,14.3,JR,E/LB,#12,Belle Plaine,4,103,0
Jordan Martin-England,7.6,JR,RB/LB,#18,Lenox,4,36,0
Judson Beary,26.3,JR,RB/LB,#6,Twin Cedars,4,103,2
Cody Dorscher,10.4,JR,WR/CB,#24,Griswold,4,64,0
Gavin Ford,11.3,JR,QB/LB,#12,Stanton,4,13,1
Logan French,17.1,SR,WR/DB,#1,Stanton,4,71,1
Jacob Martin,19.9,JR,RB/LB,#3,Stanton,4,99,1
Samuel Dascher,16.4,SO,TE/CB,#31,Calamus-Wheatland,4,64,1
Caleb Urban,10.6,JR,WR/CB,#3,East Mills,4,66,0
Emmett Burke,17.8,SO,WR/DB,#10,Lone Tree,4,78,1
Cristian Brown,33.2,SR,WR/DB,#47,Dunkerton,4,112,3
Ty Lindquist,16.9,JR,FB/LB,#18,Dunkerton,4,69,1
Jeremiah Lynam,7.6,SR,DB/WR,#9,Siouxland Christian,4,36,0
Bram Bielenberg,4.9,FR,RB/LB,#35,Siouxland Christian,4,9,0
Anthony Eisele,26.6,SR,OL/DL,#55,North Iowa,4,46,3
Luke Erselius,12.8,SO,WR/DB,#15,Montezuma,4,28,1
Christian Reinke,8.0,JR,TE/LB,#25,Rockford,4,40,0
Carter Anderson,16.4,JR,QB/DB,#15,Northwood-Kensett,4,124,0
