Name,Points,Year,Position,Number,School,REC,YDS,TDS
Quinn Street,31.3,SO,WR/DB,#4,Osage,16,153,0
Treyton Travis,61.6,SR,WR/CB,#24,Baxter,13,246,4
Evan Lorenzen,18.9,JR,RB/DB,#22,Northwood-Kensett,11,79,0
Holden Roberts,20.0,SO,TE/DE,#13,Twin Cedars,9,110,0
Cael Witt,18.6,SO,QB/CB,#9,Tri-Center,9,96,0
LJ Nyenow jr.,19.9,SO,WR,#1,Cedar Rapids Jefferson,9,109,0
Jackson McDanel,35.9,SR,RB/LB,#30,Moravia,9,149,2
Josh Wiersema,26.5,SR,WR/DB,#4,Camanche,9,115,1
Ross Kusel,16.9,SR,WR/DB,#18,IKM-Manning,8,89,0
Porter Reffer,34.3,SR,WR/DB,#11,Algona,8,203,1
Brenden Connett,24.6,SR,RB/LB,#20,Twin Cedars,8,106,1
Evan Irlmeier,24.7,JR,WR,#2,Ankeny,8,107,1
Jackson Embree,23.9,JR,SL/LB,#33,East Mills,8,99,1
Brady McDonald,21.2,SR,RB/LB,#24,Independence,8,72,1
Cael Reichter,24.2,JR,TE/DE,#25,North Fayette Valley,8,162,0
Wyatt Throckmorton,31.2,SR,WR/LB,#23,Moravia,8,112,2
Dakota Heishman,14.4,JR,WR/DB,#8,BGM,8,64,0
Izaiah Loveless,38.1,SR,WR/DB,#5,Iowa City West,7,191,2
Collin Decker,17.0,JR,WR,#7,Iowa City Liberty,7,100,0
Kole McCormick,14.0,SR,TE/LB,#3,Waukon,7,70,0
Payton Longmeyer,13.5,SR,WR/DB,#7,Glenwood,7,65,0
Evan Ten Eyck,42.2,SR,TE,#2,Boyer Valley,7,112,4
Henry Wiseman,15.9,SR,WR/CB,#3,Fort Madison,7,29,1
Wyatt Grubb,30.6,SR,FB/LB,#47,Oskaloosa,7,116,2
Declan DeJong,34.0,SO,TE/DE,#41,Moravia,7,90,3
William Denny,17.1,SR,WR/LB,#22,Martensdale-St Marys,7,101,0
Dominic Coleman,39.6,SR,WR/DE,#23,BGM,7,146,3
Carsen Newton,14.5,SR,WR/S,#3,Iowa City High,7,75,0
Tyler Ballard,17.2,SR,TE/DE,#22,HLV,6,112,0
Landon Osberg,13.8,SR,WR/CB,#7,West Central Valley,6,78,0
Ryan Sinnott,13.0,SR,WR/DB,#21,Centerville,6,70,0
Dallas Miller,27.4,JR,WR,#10,Iowa City Liberty,6,94,2
Jacob Khounsourath,18.9,SR,WR/DB,#8,Nevada,6,69,1
Sadler Gruber,26.1,JR,TE/LB,#88,Saydel,6,81,2
Keilor Rodman,28.5,SR,WR/CB,#7,Norwalk,6,105,2
Eli Robbins,37.3,SO,WR/CB,#1,Norwalk,6,193,2
Apollo Payne,28.1,SR,WR/S,#4,Prairie,6,101,2
Cal Heydon,20.4,SO,QB/DB,#11,Coon Rapids-Bayard,6,144,0
Isaiah Jervik,14.4,SO,SL/DB,#8,Sergeant Bluff-Luton,6,84,0
Owen Rosenberg,15.2,JR,WR/CB,#10,Clear Creek Amana,6,92,0
Brady Kurt,30.3,JR,WR/DL,#33,Independence,6,123,2
Curtis Witte,27.2,SR,WR/DB,#13,Lewis Central,6,152,1
Colin McDermott,25.0,SR,WR/LB,#13,Western Dubuque,6,70,2
Cael Hanson,29.4,JR,WR/LB,#22,Council Bluffs Lincoln,6,114,2
Nick Regan,20.3,SR,WR/DB,#14,Iowa Falls-Alden,6,83,1
Sven Dahlstrom,13.1,SR,RB/LB,#1,Pekin,6,71,0
Aaron Guerrero,31.5,SR,WR/DB,#13,Des Moines Lincoln,6,135,2
Mason Maschmann,26.1,SR,RB/LB,#11,BGM,6,141,1
Chandler Lahr,10.1,SR,RB/LB,#26,East Sac County,6,41,0
Caleb Hemphill,17.9,SR,RB/LB,#3,Harris-Lake Park,6,59,1
Devin Meyer,10.1,SR,TE/LB,#15,Harris-Lake Park,6,41,0
Jack Terpstra,14.9,SR,S/WR,#21,Akron-Westfield,6,89,0
Davis Rasmussen,19.6,SO,DB,#24,IKM-Manning,5,86,1
Caleb Simington,11.8,JR,QB/DB,#5,Okoboji,5,68,0
Sutton Koller,8.0,JR,RB,#24,Iowa City Liberty,5,30,0
Gio Cruz,15.8,SR,RB/DB,#5,Lenox,5,48,1
Gavin Sleezer,23.4,JR,RB/LB,#11,Alta-Aurelia,5,124,1
Kade White,11.3,SR,WR/S,#18,Winterset,5,63,0
Cash Bowe,20.0,JR,WR/S,#12,North Scott,5,90,1
Josef Dvorak,26.9,JR,RB/DB,#25,Collins-Maxwell,5,99,2
Zach Nelson,17.4,SO,WR/S,#17,Tri-Center,5,64,1
Jack Gordon,16.4,SR,WR/DL,#18,East Mills,5,54,1
Elijah Hoyt,8.7,JR,RB/DB,#27,Urbandale,5,37,0
Owen Hammersland,14.1,FR,RB/LB,#24,Central Elkader,5,31,1
Finn Martin,16.0,SO,TE/LB,#89,Newton,5,110,0
Braydon Osborn,8.1,SR,WR/S,#1,Alburnett,5,31,0
Brayden Hoben,17.3,SO,TE/DE,#10,Grand View Christian,5,63,1
Dalton Weepie,20.0,JR,TE/LB,#33,Dunkerton,5,90,1
Jackson Lanz,12.4,SR,WR/LB,#88,Wapello,5,74,0
Colby Gray,12.9,SO,WR/DB,#7,Northeast,5,79,0
Tyler Koch,19.9,SO,WR/LB,#14,Kingsley-Pierson,5,89,1
Kevin Wright,12.5,JR,WR/DB,#3,Kingsley-Pierson,5,75,0
Aedin Nelson,27.4,SR,WR/CB,#2,Mediapolis,5,104,2
Michael Kasperbauer,11.2,SR,WR/DB,#1,Kuemper Catholic,5,62,0
Cruz DeJong,16.9,SR,TE/LB,#40,Montezuma,5,59,1
David Rose,9.0,JR,WR/DB,#5,Montezuma,5,40,0
Garrett Watts,34.5,SR,WR/DB,#7,Montezuma,5,115,3
Brogan Ewing,8.0,JR,WR/CB,#10,Southeast Warren,5,30,0
Landyn Mitvalsky,9.5,SR,WR/CB,#13,Cedar Rapids Washington,5,45,0
J'Quari Willis,21.1,SR,TE/DL,#4,Cedar Rapids Washington,5,101,1
Braedon Tranel,20.1,SR,WR/DB,#12,Maquoketa,5,91,1
Jaxon Gordon,16.6,SO,RB/S,#8,Riverside,5,56,1
Rolando Olivares,8.1,SO,WR/DB,#8,Council Bluffs Lincoln,5,31,0
Caleb Haack,25.1,JR,WR/DB,#7,Iowa Valley,5,141,1
Jeffrey Roberts,10.0,SO,WR/DB,#18,Ames,5,50,0
Cameron Boyd,19.5,SO,WR,#4,Storm Lake,5,85,1
Tate Martin,22.7,JR,RB/LB,#33,BGM,5,57,2
Izreal Harper,7.9,JR,WR/S,#10,Davenport North,5,29,0
Dominic Salibi,7.2,JR,RB/DB,#4,Iowa City High,5,22,0
Dylan Stecker,11.3,JR,WR/DB,#5,Spirit Lake,5,63,0
Karter Murphy,10.8,SO,RB/DB,#11,Wayne,5,58,0
Logan Wroe,16.5,SR,WR/DB,#7,Cedar Falls,5,55,1
Nolan Birdsall,16.0,JR,RB/LB,#2,West Harrison,5,50,1
Michael Hensley,9.2,JR,RB/LB,#6,Sidney,5,42,0
Luke Beenblossom,5.5,SR,WR/DB,#2,Washington,4,15,0
Matt Sauer,9.2,SR,TE/DE,#82,Midland,4,52,0
Sam DeMeulenaere,14.3,JR,E/LB,#12,Belle Plaine,4,103,0
Ethan Behrendsen,20.0,SR,SL/LB,#5,OABCIG,4,100,1
Blake Corbin,17.9,JR,WR/LB,#14,OABCIG,4,79,1
Tyler Netsch,7.5,JR,WR/DB,#2,Okoboji,4,35,0
Owen Drapeaux,8.7,JR,RB/P,#23,Iowa City Liberty,4,47,0
Judson Beary,26.3,JR,RB/LB,#6,Twin Cedars,4,103,2
Lyle Olsen,10.7,SR,WR/CB,#5,Hudson,4,67,0
DJ Rodriguez,9.5,SR,RB/LB,#2,Alta-Aurelia,4,55,0
Jaxon Archer,6.7,SR,WR/DB,#7,Forest City,4,27,0
Trent Jolly,12.6,SR,WR/DB,#4,Pleasantville,4,86,0
Reed Oswalt,20.7,SO,WR/DB,#24,Collins-Maxwell,4,107,1
MALAKI GELO,7.6,SR,TE/DE,#84,Prairie,4,36,0
Uchan Harberts,8.4,SR,WR/DB,#18,Western Christian,4,44,0
Maverick Inman,9.9,JR,WR,#84,Waukee Northwest,4,59,0
AJ Peters,14.5,JR,WR/CB,#2,Tri-Center,4,45,1
Caleb Urban,10.6,JR,WR/CB,#3,East Mills,4,66,0
Hudson Clark,18.0,SO,WR/DB,#3,Gladbrook-Reinbeck,4,80,1
Owen Garside,17.5,JR,S/QB,#3,Boyer Valley,4,75,1
Jaydan Broich,6.7,SR,WR/S,#20,Central Decatur,4,27,0
Kyser Arnold,17.5,SO,TE/DE,#33,Chariton,4,75,1
Cristian Brown,33.2,SR,WR/DB,#47,Dunkerton,4,112,3
Jeret Petersen,9.0,SR,TE/LB,#88,Earlham,4,50,0
Michael Frame,15.0,JR,WR/DB,#2,Northeast,4,50,1
Tate Germann,7.5,JR,RB/CB,#9,North Fayette Valley,4,35,0
Tucker Heeren,20.1,SR,WR/DB,#8,Hampton-Dumont-CAL,4,41,2
Max Roach,6.3,SO,WR/CB,#7,Oskaloosa,4,23,0
Benjamin Gerken,21.5,SR,WR/DB,#6,Kuemper Catholic,4,55,2
Carson Kanne,9.3,JR,WR/DB,#4,Kuemper Catholic,4,53,0
Luke Erselius,12.8,SO,WR/DB,#15,Montezuma,4,28,1
Noah Henderson,12.0,JR,RB/LB,#21,Sumner-Fredericksburg,4,20,1
Beau Wadle,18.1,SR,RB/LB,#21,LeMars,4,81,1
Hudson Ehrenfelt,9.7,SO,RB/LB,#34,Mid-Prairie,4,57,0
Cobi Hershberger,6.7,JR,WR/LB,#9,Mid-Prairie,4,27,0
Colton Rasmussen,28.1,SR,DB/WR,#27,Atlantic,4,61,3
Quinton Jaeger,5.1,SR,RB/LB,#22,Iowa Falls-Alden,4,11,0
Jack Follmann,26.7,SR,TE/LB,#40,CAM,4,107,2
Conlin Rouse,17.6,SO,RB/LB,#11,Springville,4,76,1
Noah Cracraft,9.3,SR,WR,#1,Valley,4,53,0
Benny Ramker,5.4,SR,RB/DB,#3,Waverly-Shell Rock,4,14,0
Will Hodges,15.5,SR,WR/DB,#5,Aplington-Parkersburg,4,55,1
Kyle Kruckenberg,12.8,SR,WR/DB,#9,Madrid,4,28,1
Carson Robbins,18.2,SR,WR,#2,Southeast Polk,4,82,1
Sam Zelenovich,8.0,JR,WR,#6,Southeast Polk,4,40,0
Drew Sheedy,5.0,SO,RB/LB,#16,Davenport North,4,10,0
Jeremiah Madlock,22.0,SR,WR/DB,#1,Iowa City High,4,120,1
Carter Wilken,5.7,SR,WR/S,#14,Akron-Westfield,4,17,0
Alex Bramow,9.7,JR,WR/DB,#2,Vinton-Shellsburg,4,57,0
James Buhlman,18.3,FR,RB/LB,#27,Easton Valley,4,83,1
Aiden Eickert ,31.4,JR,WR/LB,#7,Easton Valley,4,94,3
Callan Messerich,23.9,SO,WR/DB,#6,Easton Valley,4,79,2
Kolt Payne,30.8,JR,SL/CB,#24,Sidney,4,148,2
Landon Seibert,19.0,JR,TE/DE,#42,Danville,4,90,1
