Name,Year,Position,Number,School,YDS,TDS
Ty Alcott,JR,RB/DB,#24,Belle Plaine,662,9
Andrew Beran,JR,RB,#2,Riceville,581,10
Aaron Olsen,JR,QB/S,#3,Audubon,557,7
Landon Montag,SR,RB/LB,#24,West Bend-Mallard,627,9
Breckin Clatt,JR,RB/DB,#14,Colo-Nesco,767,15
Cole Fehr,JR,RB/LB,#33,West Bend-Mallard,497,9
Adam Scott,SR,RB/LB,#26,West Central,461,2
Evan Alt,SR,RB/LB,#4,Audubon,736,13
Myles Grove,SR,QB/LB,#10,English Valleys,591,8
Colby Wallace,JR,QB/S,#11,Glidden-Ralston,471,10
Oliver Schmitt,SR,FB,#22,Turkey Valley,602,12
Kaiden Knaack,SR,,#10,Don Bosco,695,15
Jameson Kilworth,SR,QB/DB,#8,Exira-EHK,523,9
Ambrose Savage,JR,QB/LB,#12,Lamoni,630,14
Judah Bielenberg,JR,QB/LB,#10,Siouxland Christian,231,4
Ethan Bockelman,SR,QB/DB,#22,Lone Tree,820,14
Kooper Julseth,JR,WR/LB,#1,Northwood-Kensett,475,9
Shane Helmick,SR,QB/DE,#12,Moravia,457,7
MaKade Bloker,SR,RB/LB,#11,Clarksville,806,13
Nolan Kriegel,FR,QB/DB,#2,Iowa Valley,555,8
Kael Caikoski,SR,RB/LB,#22,Melcher-Dallas,218,5
Beau Burns,SO,QB/DB,#2,BGM,831,13
Braxton Blackburn,SR,,#10,Fremont-Mills,714,14
Louden Huisenga,JR,RB/LB,#8,WACO,489,7
Cooper Wierson,SO,QB/LB,#1,Collins-Maxwell,133,5
Dane Appleby,JR,QB/LB,#4,Janesville,503,6
Triton Gwinn,SR,RB/LB,#22,Mormon Trail,234,4
Dalton Mudderman,JR,QB/LB,#5,Kee,407,10
Brody Koch,SO,RB/LB,#5,Calamus-Wheatland,372,5
Trey Fisher,JR,RB/LB,#89,Southeast Warren,454,9
Brodie Ludwig,JR,RB/LB,#21,Woodbine,256,7
Jack Adams,JR,QB,#7,Riceville,332,3
Maddox Jondle,JR,QB/LB,#11,Lone Tree,503,8
Pryce Rochford,JR,QB,#22,Edgewood-Colesburg,671,13
Anthony Harrington,SO,QB/LB,#2,Midland,467,10
Michael Hensley,JR,RB/LB,#6,Sidney,378,6
Wyatt Oswald,JR,QB/LB,#10,Coon Rapids-Bayard,274,2
Landon Lindgren,SO,RB/DB,#11,Lamoni,415,6
Max Carlson,JR,QB/LB,#10,Newell-Fonda,456,5
Gavin Menke-Bailey,JR,QB/LB,#5,New London,267,2
Fischer Buffington,JR,RB/DE,#12,East Union,306,2
Max Henstorf,SR,QB/LB,#7,HLV,101,1
Emmett Snyder,SR,RB/S,#29,Glidden-Ralston,309,4
Cam Buffington,SR,QB/LB,#33,Winfield-Mt Union,646,9
McKoy Nuss,SO,QB/LB,#13,Tripoli,222,4
Luke Cripps,SR,QB/S,#1,Boyer Valley,487,8
Silas Walston,SR,RB/DE,#33,Bedford,458,11
Brogyn Greensky,SR,QB/LB,#4,North Iowa,296,2
Landon Waldschmitt,JR,QB/DB,#7,Remsen St. Mary's,433,8
Mason Hoy,SO,RB/CB,#9,Springville,540,9
Gabe Funk,JR,QB/DB,#17,Lenox,437,10
Caleb Urban,JR,WR/CB,#3,East Mills,216,4
Jamison Ewing,SO,WR/CB,#8,Southeast Warren,485,10
Dawson Smith,SR,RB/LB,#20,Iowa Valley,382,9
Chase Spieker,JR,QB/DB,#5,CAM,451,12
Perrin Sulzle,JR,QB/LB,#7,Baxter,174,2
Trenton Struss,SR,RB/S,#21,Newell-Fonda,323,6
Caden Page,JR,QB/LB,#8,Murray,179,5
Mason McIntosh,SR,QB/LB,#16,West Harrison/Whiting Hawkeyes,201,3
Josef Dvorak,JR,RB/DB,#25,Collins-Maxwell,372,5
Isaac Murphy,SR,RB/S,#1,GTRA,269,7
Slate Witte,SR,,#7,GMG,159,6
Ben Coffman,JR,RB/LB,#9,English Valleys,243,2
Marshawn Taylor,SR,RB/CB,#12,Rockford,175,1
Klay Baker,JR,RB/LB,#17,St. Edmond,263,6
JT Laufersweiler,SR,QB/DB,#11,St. Edmond,270,4
Jackson McDanel,SR,RB/LB,#30,Moravia,242,2
Wyatt Ragaller,SO,RB/DB,#8,Ar-We-Va,441,5
Nolan Gannon,FR,RB/LB,#34,Murray,259,5
Nolan Grebin,SR,QB/S,#2,Stanton/Essex Vikings,135,2
Burke Busta,SR,FB,#9,Turkey Valley,266,3
Lucas Ahrenstorff,SR,QB/S,#1,Harris-Lake Park,363,6
Nolan Birdsall,JR,RB/LB,#2,West Harrison/Whiting Hawkeyes,174,4
Grant Whitehead,JR,QB/DB,#15,Sidney,200,2
Edde Gonzalez,SR,RB/LB,#1,West Central,187,5
Brady Boulton,SO,QB/DB,#1,Montezuma,288,5
Conlin Rouse,SO,RB/LB,#11,Springville,191,4
Degin Dixson,SR,QB/CB,#3,Mormon Trail,75,2
Clayton Miller,JR,QB/CB,#4,WACO,188,4
Garrison Motsinger,JR,RB/S,#4,Bedford,399,8
Luke Rohling,SR,FB/LB,#16,Calamus-Wheatland,164,3
Talan Pletz,SO,RB/LB,#5,Janesville,229,2
